Date,Symbol,Close
2019-05-30 01-PM,BTCUSD,8748.00
2019-05-30 12-PM,BTCUSD,8750.00
2019-05-30 11-AM,BTCUSD,8744.10
2019-05-30 10-AM,BTCUSD,8758.20
2019-05-30 09-AM,BTCUSD,8729.90
2019-05-30 08-AM,BTCUSD,8720.00
2019-05-30 07-AM,BTCUSD,8744.90
2019-05-30 06-AM,BTCUSD,8741.00
2019-05-30 05-AM,BTCUSD,8739.00
2019-05-30 04-AM,BTCUSD,8712.90
2019-05-30 03-AM,BTCUSD,8715.70
2019-05-30 02-AM,BTCUSD,8625.30
2019-05-30 01-AM,BTCUSD,8639.40
2019-05-30 12-AM,BTCUSD,8694.90
2019-05-29 11-PM,BTCUSD,8678.10
2019-05-29 10-PM,BTCUSD,8692.40
2019-05-29 09-PM,BTCUSD,8685.90
2019-05-29 08-PM,BTCUSD,8674.10
2019-05-29 07-PM,BTCUSD,8716.00
2019-05-29 06-PM,BTCUSD,8687.00
2019-05-29 05-PM,BTCUSD,8680.90
2019-05-29 04-PM,BTCUSD,8742.30
2019-05-29 03-PM,BTCUSD,8717.64
2019-05-29 02-PM,BTCUSD,8736.40
2019-05-29 01-PM,BTCUSD,8762.40
2019-05-29 12-PM,BTCUSD,8673.90
2019-05-29 11-AM,BTCUSD,8661.00
2019-05-29 10-AM,BTCUSD,8704.00
2019-05-29 09-AM,BTCUSD,8666.80
2019-05-29 08-AM,BTCUSD,8629.30
2019-05-29 07-AM,BTCUSD,8582.70
2019-05-29 06-AM,BTCUSD,8540.80
2019-05-29 05-AM,BTCUSD,8505.20
2019-05-29 04-AM,BTCUSD,8609.50
2019-05-29 03-AM,BTCUSD,8664.00
2019-05-29 02-AM,BTCUSD,8675.90
2019-05-29 01-AM,BTCUSD,8686.20
2019-05-29 12-AM,BTCUSD,8704.40
2019-05-28 11-PM,BTCUSD,8738.10
2019-05-28 10-PM,BTCUSD,8725.33
2019-05-28 09-PM,BTCUSD,8724.00
2019-05-28 08-PM,BTCUSD,8721.00
2019-05-28 07-PM,BTCUSD,8712.00
2019-05-28 06-PM,BTCUSD,8769.10
2019-05-28 05-PM,BTCUSD,8760.00
2019-05-28 04-PM,BTCUSD,8675.00
2019-05-28 03-PM,BTCUSD,8727.10
2019-05-28 02-PM,BTCUSD,8729.09
2019-05-28 01-PM,BTCUSD,8679.90
2019-05-28 12-PM,BTCUSD,8735.00
2019-05-28 11-AM,BTCUSD,8780.00
2019-05-28 10-AM,BTCUSD,8723.06
2019-05-28 09-AM,BTCUSD,8748.00
2019-05-28 08-AM,BTCUSD,8765.00
2019-05-28 07-AM,BTCUSD,8762.49
2019-05-28 06-AM,BTCUSD,8740.00
2019-05-28 05-AM,BTCUSD,8770.10
2019-05-28 04-AM,BTCUSD,8797.00
2019-05-28 03-AM,BTCUSD,8809.00
2019-05-28 02-AM,BTCUSD,8813.00
2019-05-28 01-AM,BTCUSD,8820.10
2019-05-28 12-AM,BTCUSD,8785.00
2019-05-27 11-PM,BTCUSD,8806.10
2019-05-27 10-PM,BTCUSD,8815.00
2019-05-27 09-PM,BTCUSD,8819.90
2019-05-27 08-PM,BTCUSD,8761.20
2019-05-27 07-PM,BTCUSD,8821.06
2019-05-27 06-PM,BTCUSD,8814.20
2019-05-27 05-PM,BTCUSD,8700.70
2019-05-27 04-PM,BTCUSD,8700.40
2019-05-27 03-PM,BTCUSD,8849.40
2019-05-27 02-PM,BTCUSD,8812.80
2019-05-27 01-PM,BTCUSD,8829.10
2019-05-27 12-PM,BTCUSD,8830.00
2019-05-27 11-AM,BTCUSD,8740.90
2019-05-27 10-AM,BTCUSD,8778.50
2019-05-27 09-AM,BTCUSD,8785.00
2019-05-27 08-AM,BTCUSD,8735.80
2019-05-27 07-AM,BTCUSD,8789.80
2019-05-27 06-AM,BTCUSD,8768.90
2019-05-27 05-AM,BTCUSD,8741.00
2019-05-27 04-AM,BTCUSD,8735.09
2019-05-27 03-AM,BTCUSD,8768.10
2019-05-27 02-AM,BTCUSD,8763.20
2019-05-27 01-AM,BTCUSD,8851.00
2019-05-27 12-AM,BTCUSD,8900.10
2019-05-26 11-PM,BTCUSD,8729.87
2019-05-26 10-PM,BTCUSD,8691.40
2019-05-26 09-PM,BTCUSD,8679.90
2019-05-26 08-PM,BTCUSD,8602.80
2019-05-26 07-PM,BTCUSD,8567.67
2019-05-26 06-PM,BTCUSD,8016.20
2019-05-26 05-PM,BTCUSD,7990.10
2019-05-26 04-PM,BTCUSD,7997.30
2019-05-26 03-PM,BTCUSD,8008.90
2019-05-26 02-PM,BTCUSD,8013.54
2019-05-26 01-PM,BTCUSD,7989.90
2019-05-26 12-PM,BTCUSD,7955.90
2019-05-26 11-AM,BTCUSD,7923.90
2019-05-26 10-AM,BTCUSD,7968.00
2019-05-26 09-AM,BTCUSD,7988.30
2019-05-26 08-AM,BTCUSD,8008.50
2019-05-26 07-AM,BTCUSD,8001.10
2019-05-26 06-AM,BTCUSD,7987.92
2019-05-26 05-AM,BTCUSD,7987.20
2019-05-26 04-AM,BTCUSD,8008.60
2019-05-26 03-AM,BTCUSD,7990.30
2019-05-26 02-AM,BTCUSD,7987.30
2019-05-26 01-AM,BTCUSD,8035.40
2019-05-26 12-AM,BTCUSD,8035.96
2019-05-25 11-PM,BTCUSD,8055.00
2019-05-25 10-PM,BTCUSD,8060.80
2019-05-25 09-PM,BTCUSD,8035.10
2019-05-25 08-PM,BTCUSD,8020.90
2019-05-25 07-PM,BTCUSD,7990.60
2019-05-25 06-PM,BTCUSD,8018.00
2019-05-25 05-PM,BTCUSD,8034.40
2019-05-25 04-PM,BTCUSD,8019.70
2019-05-25 03-PM,BTCUSD,8057.00
2019-05-25 02-PM,BTCUSD,8063.20
2019-05-25 01-PM,BTCUSD,8035.59
2019-05-25 12-PM,BTCUSD,8092.70
2019-05-25 11-AM,BTCUSD,8095.20
2019-05-25 10-AM,BTCUSD,8089.70
2019-05-25 09-AM,BTCUSD,8086.70
2019-05-25 08-AM,BTCUSD,8048.40
2019-05-25 07-AM,BTCUSD,7994.93
2019-05-25 06-AM,BTCUSD,7970.90
2019-05-25 05-AM,BTCUSD,7972.50
2019-05-25 04-AM,BTCUSD,8025.00
2019-05-25 03-AM,BTCUSD,8010.70
2019-05-25 02-AM,BTCUSD,8050.10
2019-05-25 01-AM,BTCUSD,8034.80
2019-05-25 12-AM,BTCUSD,8000.00
2019-05-24 11-PM,BTCUSD,7990.10
2019-05-24 10-PM,BTCUSD,8036.10
2019-05-24 09-PM,BTCUSD,8061.30
2019-05-24 08-PM,BTCUSD,8099.93
2019-05-24 07-PM,BTCUSD,8057.00
2019-05-24 06-PM,BTCUSD,8068.30
2019-05-24 05-PM,BTCUSD,8063.00
2019-05-24 04-PM,BTCUSD,8079.30
2019-05-24 03-PM,BTCUSD,8102.20
2019-05-24 02-PM,BTCUSD,8059.90
2019-05-24 01-PM,BTCUSD,7995.00
2019-05-24 12-PM,BTCUSD,8040.80
2019-05-24 11-AM,BTCUSD,8024.10
2019-05-24 10-AM,BTCUSD,7981.80
2019-05-24 09-AM,BTCUSD,7974.00
2019-05-24 08-AM,BTCUSD,7967.70
2019-05-24 07-AM,BTCUSD,7886.50
2019-05-24 06-AM,BTCUSD,7879.50
2019-05-24 05-AM,BTCUSD,7839.80
2019-05-24 04-AM,BTCUSD,7852.00
2019-05-24 03-AM,BTCUSD,7875.20
2019-05-24 02-AM,BTCUSD,7866.70
2019-05-24 01-AM,BTCUSD,7871.40
2019-05-24 12-AM,BTCUSD,7874.00
2019-05-23 11-PM,BTCUSD,7871.90
2019-05-23 10-PM,BTCUSD,7885.80
2019-05-23 09-PM,BTCUSD,7905.00
2019-05-23 08-PM,BTCUSD,7853.10
2019-05-23 07-PM,BTCUSD,7773.40
2019-05-23 06-PM,BTCUSD,7754.99
2019-05-23 05-PM,BTCUSD,7776.00
2019-05-23 04-PM,BTCUSD,7816.00
2019-05-23 03-PM,BTCUSD,7760.10
2019-05-23 02-PM,BTCUSD,7713.91
2019-05-23 01-PM,BTCUSD,7671.05
2019-05-23 12-PM,BTCUSD,7626.30
2019-05-23 11-AM,BTCUSD,7592.00
2019-05-23 10-AM,BTCUSD,7617.30
2019-05-23 09-AM,BTCUSD,7590.00
2019-05-23 08-AM,BTCUSD,7561.10
2019-05-23 07-AM,BTCUSD,7583.05
2019-05-23 06-AM,BTCUSD,7632.20
2019-05-23 05-AM,BTCUSD,7619.71
2019-05-23 04-AM,BTCUSD,7654.70
2019-05-23 03-AM,BTCUSD,7674.20
2019-05-23 02-AM,BTCUSD,7665.30
2019-05-23 01-AM,BTCUSD,7599.70
2019-05-23 12-AM,BTCUSD,7630.00
2019-05-22 11-PM,BTCUSD,7620.00
2019-05-22 10-PM,BTCUSD,7719.00
2019-05-22 09-PM,BTCUSD,7672.90
2019-05-22 08-PM,BTCUSD,7823.10
2019-05-22 07-PM,BTCUSD,7918.00
2019-05-22 06-PM,BTCUSD,7929.97
2019-05-22 05-PM,BTCUSD,7909.60
2019-05-22 04-PM,BTCUSD,7946.20
2019-05-22 03-PM,BTCUSD,7974.80
2019-05-22 02-PM,BTCUSD,7870.00
2019-05-22 01-PM,BTCUSD,7862.06
2019-05-22 12-PM,BTCUSD,7800.00
2019-05-22 11-AM,BTCUSD,7817.30
2019-05-22 10-AM,BTCUSD,7895.10
2019-05-22 09-AM,BTCUSD,7889.60
2019-05-22 08-AM,BTCUSD,7931.00
2019-05-22 07-AM,BTCUSD,7915.47
2019-05-22 06-AM,BTCUSD,7939.50
2019-05-22 05-AM,BTCUSD,7960.00
2019-05-22 04-AM,BTCUSD,7946.20
2019-05-22 03-AM,BTCUSD,7928.00
2019-05-22 02-AM,BTCUSD,7959.20
2019-05-22 01-AM,BTCUSD,7955.10
2019-05-22 12-AM,BTCUSD,7998.50
2019-05-21 11-PM,BTCUSD,7931.71
2019-05-21 10-PM,BTCUSD,7957.80
2019-05-21 09-PM,BTCUSD,7989.00
2019-05-21 08-PM,BTCUSD,8060.90
2019-05-21 07-PM,BTCUSD,8004.90
2019-05-21 06-PM,BTCUSD,8019.70
2019-05-21 05-PM,BTCUSD,7988.60
2019-05-21 04-PM,BTCUSD,7910.00
2019-05-21 03-PM,BTCUSD,7919.80
2019-05-21 02-PM,BTCUSD,7938.00
2019-05-21 01-PM,BTCUSD,7927.10
2019-05-21 12-PM,BTCUSD,7893.70
2019-05-21 11-AM,BTCUSD,7888.10
2019-05-21 10-AM,BTCUSD,7917.10
2019-05-21 09-AM,BTCUSD,7990.00
2019-05-21 08-AM,BTCUSD,7938.10
2019-05-21 07-AM,BTCUSD,7929.90
2019-05-21 06-AM,BTCUSD,7927.00
2019-05-21 05-AM,BTCUSD,7899.60
2019-05-21 04-AM,BTCUSD,7876.90
2019-05-21 03-AM,BTCUSD,7913.00
2019-05-21 02-AM,BTCUSD,7901.40
2019-05-21 01-AM,BTCUSD,7925.00
2019-05-21 12-AM,BTCUSD,7934.90
2019-05-20 11-PM,BTCUSD,7990.60
2019-05-20 10-PM,BTCUSD,7915.90
2019-05-20 09-PM,BTCUSD,8015.84
2019-05-20 08-PM,BTCUSD,7978.80
2019-05-20 07-PM,BTCUSD,7810.00
2019-05-20 06-PM,BTCUSD,7724.90
2019-05-20 05-PM,BTCUSD,7753.30
2019-05-20 04-PM,BTCUSD,7827.30
2019-05-20 03-PM,BTCUSD,7814.04
2019-05-20 02-PM,BTCUSD,7799.90
2019-05-20 01-PM,BTCUSD,7730.00
2019-05-20 12-PM,BTCUSD,7715.00
2019-05-20 11-AM,BTCUSD,7834.90
2019-05-20 10-AM,BTCUSD,7901.90
2019-05-20 09-AM,BTCUSD,7888.00
2019-05-20 08-AM,BTCUSD,7875.00
2019-05-20 07-AM,BTCUSD,7887.90
2019-05-20 06-AM,BTCUSD,7890.50
2019-05-20 05-AM,BTCUSD,8015.90
2019-05-20 04-AM,BTCUSD,8025.10
2019-05-20 03-AM,BTCUSD,8046.69
2019-05-20 02-AM,BTCUSD,7924.90
2019-05-20 01-AM,BTCUSD,7978.00
2019-05-20 12-AM,BTCUSD,7949.50
2019-05-19 11-PM,BTCUSD,8188.30
2019-05-19 10-PM,BTCUSD,8207.00
2019-05-19 09-PM,BTCUSD,8085.50
2019-05-19 08-PM,BTCUSD,8019.85
2019-05-19 07-PM,BTCUSD,7976.50
2019-05-19 06-PM,BTCUSD,7998.00
2019-05-19 05-PM,BTCUSD,7995.00
2019-05-19 04-PM,BTCUSD,7931.80
2019-05-19 03-PM,BTCUSD,7997.00
2019-05-19 02-PM,BTCUSD,7949.90
2019-05-19 01-PM,BTCUSD,7891.00
2019-05-19 12-PM,BTCUSD,7949.66
2019-05-19 11-AM,BTCUSD,7990.20
2019-05-19 10-AM,BTCUSD,8045.00
2019-05-19 09-AM,BTCUSD,8049.00
2019-05-19 08-AM,BTCUSD,7949.90
2019-05-19 07-AM,BTCUSD,7934.40
2019-05-19 06-AM,BTCUSD,7901.70
2019-05-19 05-AM,BTCUSD,7892.00
2019-05-19 04-AM,BTCUSD,7949.00
2019-05-19 03-AM,BTCUSD,7901.90
2019-05-19 02-AM,BTCUSD,7695.30
2019-05-19 01-AM,BTCUSD,7590.00
2019-05-19 12-AM,BTCUSD,7300.16
2019-05-18 11-PM,BTCUSD,7260.10
2019-05-18 10-PM,BTCUSD,7290.00
2019-05-18 09-PM,BTCUSD,7342.04
2019-05-18 08-PM,BTCUSD,7295.30
2019-05-18 07-PM,BTCUSD,7252.00
2019-05-18 06-PM,BTCUSD,7261.80
2019-05-18 05-PM,BTCUSD,7280.00
2019-05-18 04-PM,BTCUSD,7363.00
2019-05-18 03-PM,BTCUSD,7380.40
2019-05-18 02-PM,BTCUSD,7363.90
2019-05-18 01-PM,BTCUSD,7346.00
2019-05-18 12-PM,BTCUSD,7307.00
2019-05-18 11-AM,BTCUSD,7316.00
2019-05-18 10-AM,BTCUSD,7288.00
2019-05-18 09-AM,BTCUSD,7300.00
2019-05-18 08-AM,BTCUSD,7330.10
2019-05-18 07-AM,BTCUSD,7316.00
2019-05-18 06-AM,BTCUSD,7379.90
2019-05-18 05-AM,BTCUSD,7437.96
2019-05-18 04-AM,BTCUSD,7434.00
2019-05-18 03-AM,BTCUSD,7404.70
2019-05-18 02-AM,BTCUSD,7339.00
2019-05-18 01-AM,BTCUSD,7320.04
2019-05-18 12-AM,BTCUSD,7337.90
2019-05-17 11-PM,BTCUSD,7417.90
2019-05-17 10-PM,BTCUSD,7294.90
2019-05-17 09-PM,BTCUSD,7314.50
2019-05-17 08-PM,BTCUSD,7178.00
2019-05-17 07-PM,BTCUSD,7194.28
2019-05-17 06-PM,BTCUSD,7175.00
2019-05-17 05-PM,BTCUSD,7111.30
2019-05-17 04-PM,BTCUSD,7168.20
2019-05-17 03-PM,BTCUSD,7177.80
2019-05-17 02-PM,BTCUSD,7221.10
2019-05-17 01-PM,BTCUSD,7269.90
2019-05-17 12-PM,BTCUSD,7200.06
2019-05-17 11-AM,BTCUSD,7237.50
2019-05-17 10-AM,BTCUSD,7299.92
2019-05-17 09-AM,BTCUSD,7344.00
2019-05-17 08-AM,BTCUSD,7349.10
2019-05-17 07-AM,BTCUSD,7340.00
2019-05-17 06-AM,BTCUSD,7204.90
2019-05-17 05-AM,BTCUSD,7207.00
2019-05-17 04-AM,BTCUSD,7270.40
2019-05-17 03-AM,BTCUSD,7352.90
2019-05-17 02-AM,BTCUSD,7521.43
2019-05-17 01-AM,BTCUSD,7773.60
2019-05-17 12-AM,BTCUSD,7859.10
2019-05-16 11-PM,BTCUSD,7859.70
2019-05-16 10-PM,BTCUSD,7816.30
2019-05-16 09-PM,BTCUSD,7912.20
2019-05-16 08-PM,BTCUSD,7705.00
2019-05-16 07-PM,BTCUSD,7852.40
2019-05-16 06-PM,BTCUSD,7916.50
